HIV-prEP DART Anonymization Protocols & Checklist,,,
Gokul Thothathri,Anonymization Technique (Class 1),Description ,Metrics
,k-Anonymization,Ensures each record is indistinguishable from at least k?1 others.,"k-Anonymity Score, Re-identification Risk, l-Diversity, t-Closeness, Variance Retention, Information Loss (%), Processing Time, Memory Usage"
,Pseudonymization,Replaces sensitive identifiers with randomly generated pseudonyms,"Re-identification Risk, Variance Retention, Processing Time, Memory Usage"
,Random Shuffling,Disrupts the natural order of data to obscure relationships,"Re-identification Risk, Variance Retention, Processing Time, Memory Usage"
,Generalization,Likely reduces the granularity of data to make it less identifiable,"Re-identification Risk, Variance Retention, Information Loss (%), Information Loss (%), Processing Time, Memory Usage"
,Suppression,"Replaces constant values across all rows, removing variability","Re-identification Risk, Variance Retention, Information Loss (%), Processing Time, Memory Usage"
,Secondary Pseudonym Pools,Adds additional layers of abstraction for pseudonymized data,"Re-identification Risk, Variance Retention, Processing Time, Memory Usage"
,Column Segmentation,Processes columns separately to reduce the risk of relational re-identification,"Re-identification Risk, Variance Retention, Processing Time, Memory Usage"
,Anonymization Technique (Class 2),,
,Top- or Bottom-Coding,"Limits extreme values to prevent identification (e.g., age > 90 ? ""90+"").","Re-identification Risk, Variance Retention, Processing Time, Memory Usage"
,Micro-aggregation,Groups similar records and replaces individual values with group averages.,"Re-identification Risk, l-Diversity, Variance Retention, Correlation Analysis, Processing Time, Memory Usage"
,Bucketing (Binning),"Converts continuous variables into discrete groups (e.g., income ranges)","Re-identification Risk, Variance Retention, Correlation Analysis, Processing Time, Memory Usage"
,Masking & Reduction,Hides or replaces sensitive text data to prevent exposure.,"Re-identification Risk, Variance Retention, Processing Time,Memory Usage"
,Noise Addition (Data Perturbation),Introduces small random variations to numeric values to obscure exact data.,"Re-identification Risk, Mean Absolute Error (MAE), Variance Retention, Processing Time, Memory Usage"
,Data Swapping,Replaces selected values with those from other records to break linkability.,"Re-identification Risk, Variance Retention, Processing Time, Memory Usage"
,Anonymization Technique (Class 3),,
,Differential Privacy,"Adds mathematically calibrated noise to queries, ensuring privacy while preserving statistical integrity.","Re-identification Risk, t-Closeness, Differential Privacy Level (?-DP), Variance Retention, Processing Time,Memory Usage"
